freq,psd_x,psd_y,psd_z,psd_xyz
153.7,1.244e+04,5.227e+03,7.036e+03,2.471e+04
155.2,1.111e+04,4.488e+03,6.628e+03,2.223e+04
156.7,9.578e+03,3.908e+03,6.417e+03,1.990e+04
158.2,9.385e+03,4.162e+03,6.442e+03,1.999e+04
159.7,1.026e+04,4.780e+03,6.136e+03,2.117e+04
161.1,1.307e+04,6.122e+03,6.516e+03,2.571e+04
162.6,1.370e+04,6.689e+03,6.648e+03,2.704e+04
164.1,1.417e+04,7.086e+03,6.764e+03,2.802e+04
165.6,1.501e+04,7.174e+03,6.894e+03,2.908e+04
167.0,1.733e+04,8.207e+03,8.272e+03,3.381e+04
168.5,1.862e+04,8.789e+03,9.364e+03,3.677e+04
170.0,1.692e+04,8.235e+03,9.288e+03,3.445e+04
171.5,1.181e+04,5.984e+03,7.114e+03,2.491e+04
173.0,7.237e+03,3.818e+03,5.126e+03,1.618e+04
174.4,5.399e+03,2.775e+03,4.227e+03,1.240e+04
175.9,6.626e+03,3.092e+03,4.882e+03,1.460e+04
177.4,6.786e+03,3.186e+03,5.067e+03,1.504e+04
178.9,6.064e+03,3.005e+03,4.533e+03,1.360e+04
180.4,5.804e+03,3.000e+03,4.160e+03,1.296e+04
181.8,6.236e+03,3.456e+03,4.329e+03,1.402e+04
183.3,6.376e+03,3.619e+03,4.354e+03,1.435e+04
184.8,7.159e+03,4.378e+03,4.373e+03,1.591e+04
186.3,7.163e+03,5.607e+03,4.345e+03,1.712e+04
187.7,5.923e+03,5.375e+03,3.609e+03,1.491e+04
189.2,5.263e+03,4.901e+03,3.255e+03,1.342e+04
190.7,7.342e+03,7.285e+03,4.039e+03,1.866e+04
192.2,9.284e+03,1.077e+04,4.456e+03,2.451e+04
193.7,1.097e+04,1.382e+04,4.929e+03,2.972e+04
195.1,1.052e+04,1.450e+04,4.745e+03,2.976e+04
196.6,9.693e+03,1.482e+04,4.612e+03,2.913e+04
198.1,8.617e+03,1.426e+04,4.444e+03,2.732e+04
199.6,7.873e+03,1.371e+04,4.431e+03,2.601e+04
