freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.931e+02,3.984e+01,2.744e+01,7.604e+02
1.5,4.372e+02,1.455e+02,9.948e+01,6.822e+02
3.0,6.616e+01,1.520e+02,1.015e+02,3.197e+02
4.4,2.772e+02,1.506e+02,1.066e+02,5.344e+02
5.9,1.043e+03,1.590e+02,1.144e+02,1.316e+03
7.4,1.781e+03,1.706e+02,1.074e+02,2.059e+03
8.9,2.595e+03,1.681e+02,1.018e+02,2.864e+03
10.4,3.469e+03,1.740e+02,1.096e+02,3.753e+03
11.8,3.959e+03,1.832e+02,1.048e+02,4.247e+03
13.3,5.055e+03,1.707e+02,9.831e+01,5.324e+03
14.8,6.735e+03,1.636e+02,9.676e+01,6.995e+03
16.3,8.537e+03,1.675e+02,9.829e+01,8.803e+03
17.8,1.082e+04,1.593e+02,1.016e+02,1.108e+04
19.2,1.334e+04,1.659e+02,1.204e+02,1.363e+04
20.7,1.628e+04,1.745e+02,1.375e+02,1.659e+04
22.2,1.875e+04,1.722e+02,1.338e+02,1.905e+04
23.7,2.275e+04,1.593e+02,1.171e+02,2.302e+04
25.1,2.883e+04,1.736e+02,1.374e+02,2.914e+04
26.6,3.404e+04,1.719e+02,2.001e+02,3.441e+04
28.1,3.740e+04,1.702e+02,2.378e+02,3.781e+04
29.6,4.264e+04,1.875e+02,2.472e+02,4.308e+04
31.1,5.076e+04,1.733e+02,1.911e+02,5.113e+04
32.5,6.132e+04,1.619e+02,1.813e+02,6.166e+04
34.0,7.269e+04,1.942e+02,2.329e+02,7.312e+04
35.5,8.973e+04,2.930e+02,3.610e+02,9.039e+04
37.0,1.153e+05,3.777e+02,5.947e+02,1.163e+05
38.5,1.514e+05,4.810e+02,8.843e+02,1.527e+05
39.9,1.898e+05,5.648e+02,1.216e+03,1.916e+05
41.4,2.130e+05,3.794e+02,1.551e+03,2.149e+05
42.9,2.575e+05,4.173e+02,2.103e+03,2.600e+05
44.4,3.546e+05,1.175e+03,2.971e+03,3.588e+05
45.9,5.111e+05,3.024e+03,3.625e+03,5.178e+05
47.3,7.713e+05,6.715e+03,3.189e+03,7.812e+05
48.8,1.223e+06,1.200e+04,1.829e+03,1.236e+06
50.3,1.965e+06,1.528e+04,9.815e+02,1.981e+06
51.8,2.965e+06,1.810e+04,1.767e+03,2.985e+06
53.3,3.331e+06,1.892e+04,5.951e+03,3.356e+06
54.7,2.662e+06,1.036e+04,7.974e+03,2.680e+06
56.2,1.733e+06,3.712e+03,7.015e+03,1.744e+06
57.7,1.073e+06,1.388e+03,6.656e+03,1.081e+06
59.2,6.824e+05,1.002e+03,4.917e+03,6.883e+05
60.6,4.475e+05,1.057e+03,2.212e+03,4.508e+05
62.1,3.163e+05,8.355e+02,1.203e+03,3.184e+05
63.6,2.245e+05,9.332e+02,1.235e+03,2.267e+05
65.1,1.691e+05,1.306e+03,2.797e+03,1.733e+05
66.6,1.216e+05,1.267e+03,6.703e+03,1.296e+05
68.0,8.492e+04,1.766e+03,1.028e+04,9.696e+04
69.5,6.571e+04,2.948e+03,1.327e+04,8.192e+04
71.0,6.323e+04,4.894e+03,1.375e+04,8.187e+04
72.5,1.001e+05,7.610e+03,1.404e+04,1.218e+05
74.0,1.786e+05,8.867e+03,1.324e+04,2.007e+05
75.4,2.436e+05,9.039e+03,1.248e+04,2.651e+05
76.9,2.771e+05,9.549e+03,1.316e+04,2.998e+05
78.4,3.288e+05,9.121e+03,1.631e+04,3.542e+05
79.9,3.172e+05,8.374e+03,1.781e+04,3.434e+05
81.4,2.943e+05,7.382e+03,1.752e+04,3.192e+05
82.8,2.653e+05,6.650e+03,1.639e+04,2.884e+05
84.3,2.285e+05,6.638e+03,1.470e+04,2.499e+05
85.8,1.955e+05,6.282e+03,1.383e+04,2.156e+05
87.3,1.718e+05,5.703e+03,1.421e+04,1.917e+05
88.8,1.538e+05,5.207e+03,1.588e+04,1.749e+05
90.2,1.337e+05,5.385e+03,1.603e+04,1.551e+05
91.7,1.358e+05,6.064e+03,1.250e+04,1.544e+05
93.2,1.516e+05,6.219e+03,1.009e+04,1.679e+05
94.7,1.654e+05,4.748e+03,7.308e+03,1.774e+05
96.2,1.777e+05,3.528e+03,5.053e+03,1.863e+05
97.6,1.760e+05,3.661e+03,4.284e+03,1.839e+05
99.1,1.767e+05,5.951e+03,6.100e+03,1.887e+05
100.6,2.042e+05,1.194e+04,1.236e+04,2.285e+05
102.1,2.328e+05,1.977e+04,2.049e+04,2.730e+05
103.5,2.374e+05,2.486e+04,2.594e+04,2.882e+05
105.0,2.459e+05,3.007e+04,3.121e+04,3.072e+05
106.5,2.567e+05,3.562e+04,3.495e+04,3.273e+05
108.0,2.524e+05,3.835e+04,3.611e+04,3.269e+05
109.5,2.480e+05,4.051e+04,4.130e+04,3.298e+05
110.9,2.466e+05,4.249e+04,5.176e+04,3.409e+05
112.4,2.396e+05,4.373e+04,5.200e+04,3.353e+05
113.9,2.136e+05,4.456e+04,3.525e+04,2.934e+05
115.4,2.050e+05,4.653e+04,3.572e+04,2.872e+05
116.9,2.112e+05,5.352e+04,3.994e+04,3.047e+05
118.3,2.123e+05,5.940e+04,4.265e+04,3.143e+05
119.8,1.894e+05,5.388e+04,4.118e+04,2.845e+05
121.3,1.170e+05,2.845e+04,2.518e+04,1.706e+05
122.8,9.438e+04,2.333e+04,2.017e+04,1.379e+05
124.3,1.074e+05,2.693e+04,2.385e+04,1.581e+05
125.7,1.162e+05,2.920e+04,2.770e+04,1.731e+05
127.2,1.246e+05,3.259e+04,3.319e+04,1.904e+05
128.7,1.359e+05,3.754e+04,4.020e+04,2.136e+05
130.2,1.470e+05,4.397e+04,4.694e+04,2.379e+05
131.7,1.515e+05,4.888e+04,5.231e+04,2.527e+05
133.1,8.646e+04,2.779e+04,2.951e+04,1.438e+05
134.6,2.236e+04,6.689e+03,6.517e+03,3.557e+04
136.1,1.850e+04,5.608e+03,5.489e+03,2.960e+04
137.6,1.818e+04,5.313e+03,5.541e+03,2.904e+04
139.0,1.735e+04,5.076e+03,5.368e+03,2.780e+04
140.5,1.643e+04,4.695e+03,5.094e+03,2.622e+04
142.0,1.591e+04,4.416e+03,5.050e+03,2.538e+04
143.5,1.585e+04,4.349e+03,5.233e+03,2.543e+04
145.0,1.630e+04,4.362e+03,5.375e+03,2.603e+04
146.4,1.834e+04,5.053e+03,6.299e+03,2.969e+04
147.9,2.235e+04,6.440e+03,8.261e+03,3.705e+04
149.4,2.682e+04,7.709e+03,1.009e+04,4.462e+04
150.9,3.292e+04,1.037e+04,1.366e+04,5.695e+04
152.4,3.827e+04,1.277e+04,1.698e+04,6.802e+04
153.8,4.046e+04,1.421e+04,1.770e+04,7.237e+04
155.3,4.646e+04,1.774e+04,2.020e+04,8.440e+04
156.8,5.078e+04,1.979e+04,2.268e+04,9.325e+04
158.3,4.702e+04,1.952e+04,2.240e+04,8.894e+04
159.8,3.980e+04,1.844e+04,2.119e+04,7.943e+04
161.2,2.855e+04,1.531e+04,1.810e+04,6.196e+04
162.7,1.850e+04,1.234e+04,1.523e+04,4.608e+04
164.2,1.646e+04,1.178e+04,1.427e+04,4.251e+04
165.7,1.922e+04,1.259e+04,1.458e+04,4.639e+04
167.2,2.835e+04,1.534e+04,1.664e+04,6.034e+04
168.6,4.249e+04,1.966e+04,2.036e+04,8.251e+04
170.1,5.711e+04,2.523e+04,2.430e+04,1.066e+05
171.6,6.974e+04,3.131e+04,2.803e+04,1.291e+05
173.1,7.038e+04,3.114e+04,2.692e+04,1.284e+05
