freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.951e+02,1.054e+01,1.073e+01,3.164e+02
1.5,1.930e+02,2.599e+01,2.471e+01,2.437e+02
3.0,3.797e+01,2.652e+01,2.519e+01,8.968e+01
4.4,2.294e+02,2.774e+01,2.687e+01,2.840e+02
5.9,9.608e+02,3.152e+01,3.208e+01,1.024e+03
7.4,1.624e+03,4.352e+01,4.136e+01,1.708e+03
8.9,2.295e+03,4.100e+01,3.993e+01,2.375e+03
10.3,3.141e+03,3.071e+01,3.170e+01,3.203e+03
11.8,4.099e+03,3.058e+01,2.872e+01,4.158e+03
13.3,5.272e+03,2.837e+01,3.040e+01,5.331e+03
14.8,6.892e+03,2.465e+01,3.093e+01,6.947e+03
16.2,8.569e+03,2.663e+01,3.361e+01,8.629e+03
17.7,9.222e+03,2.682e+01,3.737e+01,9.286e+03
19.2,1.046e+04,2.754e+01,4.152e+01,1.052e+04
20.7,1.257e+04,2.930e+01,4.306e+01,1.264e+04
22.1,1.475e+04,3.133e+01,4.257e+01,1.482e+04
23.6,1.774e+04,4.176e+01,4.087e+01,1.782e+04
25.1,1.991e+04,5.342e+01,4.017e+01,2.001e+04
26.6,2.117e+04,4.304e+01,3.028e+01,2.124e+04
28.0,2.402e+04,4.053e+01,3.529e+01,2.410e+04
29.5,2.806e+04,4.959e+01,4.530e+01,2.816e+04
31.0,3.446e+04,6.541e+01,5.855e+01,3.458e+04
32.5,4.089e+04,7.032e+01,6.008e+01,4.103e+04
33.9,4.495e+04,5.696e+01,6.495e+01,4.507e+04
35.4,5.214e+04,4.169e+01,9.797e+01,5.228e+04
36.9,6.559e+04,3.593e+01,1.729e+02,6.580e+04
38.4,8.253e+04,6.463e+01,3.476e+02,8.295e+04
39.9,1.037e+05,1.784e+02,5.817e+02,1.045e+05
41.3,1.212e+05,3.854e+02,6.944e+02,1.222e+05
42.8,1.456e+05,7.519e+02,6.816e+02,1.470e+05
44.3,1.838e+05,1.420e+03,6.449e+02,1.859e+05
45.8,2.406e+05,2.342e+03,5.562e+02,2.435e+05
47.2,3.470e+05,3.333e+03,3.737e+02,3.507e+05
48.7,5.208e+05,3.821e+03,2.604e+02,5.248e+05
50.2,7.610e+05,3.828e+03,1.343e+03,7.662e+05
51.7,9.326e+05,3.001e+03,4.505e+03,9.401e+05
53.1,8.331e+05,2.879e+03,8.094e+03,8.441e+05
54.6,5.968e+05,4.968e+03,9.069e+03,6.108e+05
56.1,4.039e+05,9.079e+03,6.493e+03,4.194e+05
57.6,2.621e+05,1.124e+04,3.394e+03,2.767e+05
59.0,1.713e+05,1.015e+04,1.437e+03,1.829e+05
60.5,1.240e+05,8.570e+03,7.447e+02,1.334e+05
62.0,9.174e+04,7.256e+03,5.865e+02,9.958e+04
63.5,7.087e+04,5.990e+03,6.972e+02,7.755e+04
64.9,6.349e+04,3.918e+03,1.427e+03,6.883e+04
66.4,6.715e+04,2.898e+03,2.463e+03,7.251e+04
67.9,8.531e+04,3.047e+03,3.624e+03,9.198e+04
69.4,1.109e+05,3.651e+03,4.571e+03,1.191e+05
70.8,1.524e+05,4.003e+03,6.294e+03,1.627e+05
72.3,1.846e+05,4.110e+03,8.884e+03,1.976e+05
73.8,2.059e+05,5.357e+03,1.272e+04,2.240e+05
75.3,2.206e+05,8.450e+03,1.616e+04,2.452e+05
76.7,2.140e+05,1.123e+04,1.645e+04,2.417e+05
78.2,2.013e+05,1.178e+04,1.315e+04,2.262e+05
79.7,1.887e+05,9.628e+03,9.348e+03,2.076e+05
81.2,1.742e+05,6.050e+03,7.336e+03,1.876e+05
82.7,1.649e+05,3.539e+03,6.491e+03,1.750e+05
84.1,1.501e+05,1.975e+03,5.655e+03,1.577e+05
85.6,1.346e+05,8.974e+02,4.901e+03,1.404e+05
87.1,1.176e+05,3.605e+02,4.005e+03,1.219e+05
88.6,1.037e+05,1.115e+03,4.125e+03,1.089e+05
90.0,1.006e+05,4.187e+03,7.076e+03,1.119e+05
91.5,1.120e+05,3.935e+03,5.666e+03,1.216e+05
93.0,1.341e+05,6.829e+03,7.754e+03,1.487e+05
94.5,1.522e+05,9.859e+03,9.753e+03,1.718e+05
95.9,1.499e+05,1.157e+04,1.059e+04,1.720e+05
97.4,1.557e+05,1.420e+04,1.206e+04,1.820e+05
98.9,1.592e+05,1.626e+04,1.288e+04,1.883e+05
100.4,1.572e+05,1.745e+04,1.335e+04,1.880e+05
101.8,1.493e+05,1.793e+04,1.367e+04,1.809e+05
103.3,1.391e+05,1.793e+04,1.371e+04,1.708e+05
104.8,1.280e+05,1.758e+04,1.347e+04,1.590e+05
106.3,1.168e+05,1.716e+04,1.333e+04,1.473e+05
107.7,1.093e+05,1.725e+04,1.383e+04,1.404e+05
109.2,1.113e+05,1.794e+04,1.503e+04,1.443e+05
110.7,1.190e+05,1.875e+04,1.628e+04,1.541e+05
112.2,1.126e+05,1.720e+04,1.566e+04,1.455e+05
113.6,9.971e+04,1.450e+04,1.415e+04,1.284e+05
115.1,8.966e+04,1.299e+04,1.370e+04,1.164e+05
116.6,8.395e+04,1.232e+04,1.460e+04,1.109e+05
118.1,8.441e+04,1.141e+04,1.606e+04,1.119e+05
119.6,8.821e+04,1.043e+04,1.711e+04,1.158e+05
121.0,6.635e+04,7.445e+03,1.333e+04,8.712e+04
122.5,4.990e+04,5.804e+03,1.051e+04,6.621e+04
124.0,5.682e+04,7.071e+03,1.138e+04,7.526e+04
125.5,6.511e+04,8.845e+03,1.211e+04,8.607e+04
126.9,6.884e+04,1.010e+04,1.211e+04,9.105e+04
128.4,6.689e+04,1.014e+04,1.141e+04,8.845e+04
129.9,7.078e+04,1.089e+04,1.196e+04,9.363e+04
131.4,7.363e+04,1.289e+04,1.347e+04,9.998e+04
132.8,4.299e+04,7.963e+03,7.969e+03,5.893e+04
134.3,1.036e+04,2.120e+03,1.779e+03,1.426e+04
135.8,7.498e+03,1.687e+03,1.350e+03,1.054e+04
137.3,8.008e+03,2.031e+03,1.891e+03,1.193e+04
138.7,8.704e+03,2.344e+03,2.463e+03,1.351e+04
140.2,9.116e+03,2.453e+03,2.897e+03,1.447e+04
141.7,9.622e+03,2.671e+03,3.340e+03,1.563e+04
143.2,1.017e+04,2.938e+03,3.864e+03,1.697e+04
144.6,1.088e+04,3.320e+03,4.527e+03,1.873e+04
146.1,1.201e+04,3.950e+03,5.104e+03,2.106e+04
147.6,1.219e+04,4.168e+03,4.737e+03,2.110e+04
149.1,1.119e+04,3.553e+03,3.646e+03,1.839e+04
150.5,1.157e+04,3.856e+03,3.821e+03,1.925e+04
152.0,1.245e+04,4.659e+03,4.616e+03,2.173e+04
153.5,1.320e+04,5.310e+03,5.498e+03,2.401e+04
155.0,1.465e+04,6.414e+03,6.994e+03,2.806e+04
156.4,1.561e+04,7.546e+03,8.701e+03,3.186e+04
157.9,1.460e+04,7.707e+03,9.267e+03,3.157e+04
159.4,1.288e+04,7.622e+03,9.276e+03,2.978e+04
160.9,1.170e+04,7.696e+03,8.910e+03,2.831e+04
162.4,9.492e+03,6.705e+03,8.200e+03,2.440e+04
163.8,9.544e+03,6.598e+03,8.291e+03,2.443e+04
165.3,9.338e+03,6.275e+03,7.756e+03,2.337e+04
166.8,8.126e+03,5.312e+03,6.204e+03,1.964e+04
168.3,7.091e+03,4.444e+03,5.072e+03,1.661e+04
169.7,6.446e+03,4.344e+03,4.895e+03,1.568e+04
171.2,5.295e+03,3.998e+03,4.659e+03,1.395e+04
172.7,4.055e+03,3.278e+03,4.386e+03,1.172e+04
174.2,2.728e+03,2.178e+03,3.675e+03,8.580e+03
175.6,2.713e+03,1.773e+03,3.108e+03,7.594e+03
177.1,2.810e+03,1.675e+03,2.565e+03,7.050e+03
178.6,2.791e+03,1.774e+03,1.947e+03,6.513e+03
180.1,3.175e+03,2.195e+03,1.886e+03,7.256e+03
181.5,3.232e+03,2.422e+03,1.835e+03,7.488e+03
183.0,2.932e+03,2.444e+03,1.505e+03,6.881e+03
184.5,2.950e+03,2.635e+03,1.391e+03,6.977e+03
186.0,3.259e+03,3.184e+03,1.767e+03,8.209e+03
187.4,3.258e+03,3.708e+03,1.918e+03,8.883e+03
188.9,3.474e+03,4.181e+03,2.106e+03,9.760e+03
190.4,4.081e+03,5.382e+03,2.541e+03,1.200e+04
191.9,4.508e+03,7.032e+03,2.734e+03,1.427e+04
193.3,5.552e+03,8.708e+03,3.193e+03,1.745e+04
194.8,6.422e+03,9.207e+03,3.755e+03,1.938e+04
196.3,6.723e+03,9.111e+03,3.990e+03,1.982e+04
197.8,6.946e+03,8.986e+03,4.381e+03,2.031e+04
199.3,7.168e+03,9.231e+03,4.759e+03,2.116e+04
