freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.750e+02,1.033e+01,1.076e+01,3.961e+02
1.5,2.328e+02,2.612e+01,2.545e+01,2.843e+02
3.0,4.189e+01,2.597e+01,2.890e+01,9.675e+01
4.4,2.442e+02,2.879e+01,3.069e+01,3.037e+02
5.9,1.020e+03,2.964e+01,2.984e+01,1.079e+03
7.4,1.756e+03,3.461e+01,3.650e+01,1.827e+03
8.9,2.525e+03,3.302e+01,3.173e+01,2.590e+03
10.3,3.442e+03,2.519e+01,2.737e+01,3.494e+03
11.8,4.561e+03,2.645e+01,2.991e+01,4.618e+03
13.3,5.985e+03,2.542e+01,2.840e+01,6.038e+03
14.8,7.897e+03,2.466e+01,2.778e+01,7.950e+03
16.2,9.804e+03,2.494e+01,3.340e+01,9.862e+03
17.7,1.050e+04,2.840e+01,3.753e+01,1.057e+04
19.2,1.196e+04,3.180e+01,4.157e+01,1.203e+04
20.7,1.463e+04,4.012e+01,4.502e+01,1.471e+04
22.2,1.777e+04,5.169e+01,4.760e+01,1.787e+04
23.6,2.184e+04,8.318e+01,4.517e+01,2.197e+04
25.1,2.450e+04,1.132e+02,4.274e+01,2.465e+04
26.6,2.624e+04,9.367e+01,3.407e+01,2.637e+04
28.1,3.051e+04,8.867e+01,4.131e+01,3.064e+04
29.5,3.630e+04,1.272e+02,5.893e+01,3.649e+04
31.0,4.519e+04,1.967e+02,6.577e+01,4.545e+04
32.5,5.483e+04,2.318e+02,7.412e+01,5.514e+04
34.0,6.234e+04,1.647e+02,8.989e+01,6.259e+04
35.4,7.471e+04,1.041e+02,1.329e+02,7.495e+04
36.9,9.694e+04,1.002e+02,2.414e+02,9.728e+04
38.4,1.272e+05,1.691e+02,5.173e+02,1.279e+05
39.9,1.660e+05,4.908e+02,7.950e+02,1.673e+05
41.4,2.067e+05,1.221e+03,7.150e+02,2.087e+05
42.8,2.711e+05,2.733e+03,5.152e+02,2.743e+05
44.3,3.729e+05,5.941e+03,4.006e+02,3.793e+05
45.8,5.335e+05,1.095e+04,8.789e+02,5.454e+05
47.3,7.800e+05,1.279e+04,2.793e+03,7.956e+05
48.7,1.101e+06,9.093e+03,5.360e+03,1.115e+06
