freq,psd_x,psd_y,psd_z,psd_xyz
134.5,3.122e+02,8.129e+02,1.356e+03,2.481e+03
136.0,3.699e+02,7.394e+02,1.459e+03,2.568e+03
137.5,3.645e+02,8.285e+02,1.456e+03,2.649e+03
139.0,3.965e+02,1.046e+03,1.534e+03,2.977e+03
140.4,4.661e+02,1.134e+03,1.334e+03,2.934e+03
141.9,4.433e+02,1.042e+03,1.433e+03,2.919e+03
143.4,3.697e+02,8.443e+02,2.707e+03,3.921e+03
144.9,3.614e+02,6.377e+02,2.197e+03,3.196e+03
146.4,4.588e+02,5.316e+02,2.406e+03,3.396e+03
147.8,4.686e+02,5.227e+02,2.074e+03,3.065e+03
149.3,4.815e+02,5.556e+02,2.149e+03,3.186e+03
150.8,6.137e+02,6.313e+02,3.380e+03,4.625e+03
152.3,6.306e+02,6.588e+02,3.629e+03,4.918e+03
153.7,6.250e+02,6.683e+02,3.783e+03,5.076e+03
155.2,6.766e+02,7.371e+02,3.450e+03,4.863e+03
156.7,7.560e+02,8.125e+02,2.514e+03,4.082e+03
158.2,8.162e+02,9.612e+02,2.731e+03,4.509e+03
159.7,7.728e+02,1.508e+03,2.212e+03,4.493e+03
161.1,6.732e+02,1.901e+03,2.542e+03,5.116e+03
162.6,5.738e+02,1.985e+03,2.205e+03,4.764e+03
164.1,5.258e+02,2.059e+03,2.077e+03,4.663e+03
165.6,6.703e+02,2.087e+03,3.241e+03,5.998e+03
167.0,8.637e+02,2.102e+03,3.469e+03,6.435e+03
168.5,9.137e+02,1.794e+03,2.622e+03,5.330e+03
170.0,9.016e+02,1.411e+03,2.438e+03,4.750e+03
171.5,9.371e+02,1.127e+03,3.207e+03,5.271e+03
173.0,1.051e+03,9.419e+02,2.932e+03,4.925e+03
174.4,1.186e+03,9.752e+02,2.336e+03,4.497e+03
175.9,1.160e+03,1.043e+03,2.383e+03,4.586e+03
177.4,1.006e+03,1.022e+03,1.877e+03,3.904e+03
178.9,9.314e+02,1.122e+03,1.889e+03,3.943e+03
180.4,1.045e+03,1.432e+03,2.517e+03,4.995e+03
181.8,1.247e+03,1.807e+03,3.477e+03,6.531e+03
183.3,1.519e+03,1.567e+03,3.016e+03,6.102e+03
184.8,1.956e+03,1.168e+03,3.290e+03,6.414e+03
186.3,2.167e+03,1.138e+03,3.875e+03,7.180e+03
187.7,2.175e+03,1.281e+03,3.431e+03,6.886e+03
189.2,2.213e+03,1.210e+03,2.926e+03,6.349e+03
190.7,2.008e+03,1.300e+03,3.149e+03,6.458e+03
192.2,1.816e+03,1.446e+03,3.218e+03,6.480e+03
193.7,1.598e+03,1.521e+03,2.791e+03,5.910e+03
195.1,1.362e+03,1.777e+03,2.575e+03,5.713e+03
196.6,1.278e+03,2.100e+03,2.757e+03,6.135e+03
198.1,1.131e+03,2.228e+03,2.811e+03,6.170e+03
199.6,1.050e+03,2.305e+03,2.660e+03,6.015e+03
