freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.669e+00,6.400e+01,9.727e+00,8.040e+01
1.5,2.703e+01,4.779e+01,1.852e+01,9.334e+01
3.0,3.076e+01,2.237e+01,1.813e+01,7.127e+01
4.4,3.167e+01,2.209e+02,1.751e+01,2.701e+02
5.9,3.225e+01,9.913e+02,2.111e+01,1.045e+03
7.4,3.257e+01,1.720e+03,2.626e+01,1.778e+03
8.9,3.268e+01,2.439e+03,2.303e+01,2.495e+03
10.3,2.977e+01,3.502e+03,2.083e+01,3.552e+03
11.8,3.027e+01,5.048e+03,3.953e+01,5.118e+03
13.3,3.268e+01,6.118e+03,6.343e+01,6.215e+03
14.8,3.605e+01,8.027e+03,5.043e+01,8.114e+03
16.2,6.023e+01,1.104e+04,3.745e+01,1.114e+04
17.7,8.156e+01,1.366e+04,3.302e+01,1.378e+04
19.2,6.837e+01,1.664e+04,3.927e+01,1.675e+04
20.7,6.310e+01,1.990e+04,6.131e+01,2.003e+04
22.1,6.598e+01,2.061e+04,8.956e+01,2.077e+04
23.6,1.141e+02,2.037e+04,7.943e+01,2.057e+04
25.1,1.449e+02,2.018e+04,8.360e+01,2.041e+04
26.6,8.314e+01,2.155e+04,9.971e+01,2.174e+04
28.0,8.767e+01,2.284e+04,1.127e+02,2.304e+04
29.5,1.401e+02,2.196e+04,1.388e+02,2.224e+04
31.0,1.692e+02,2.181e+04,2.108e+02,2.219e+04
32.5,1.702e+02,1.964e+04,3.133e+02,2.012e+04
33.9,1.868e+02,1.563e+04,3.998e+02,1.621e+04
35.4,2.280e+02,1.412e+04,5.090e+02,1.485e+04
36.9,2.849e+02,1.631e+04,7.656e+02,1.736e+04
38.4,3.344e+02,1.957e+04,1.194e+03,2.110e+04
39.8,4.164e+02,2.150e+04,1.600e+03,2.352e+04
41.3,4.936e+02,1.946e+04,1.638e+03,2.159e+04
42.8,6.454e+02,1.776e+04,1.554e+03,1.996e+04
44.3,8.702e+02,1.925e+04,1.657e+03,2.178e+04
45.8,1.061e+03,2.334e+04,2.145e+03,2.654e+04
47.2,1.288e+03,2.834e+04,3.144e+03,3.277e+04
48.7,1.582e+03,3.151e+04,4.464e+03,3.755e+04
50.2,2.208e+03,3.592e+04,6.687e+03,4.482e+04
51.7,2.828e+03,3.967e+04,1.065e+04,5.314e+04
53.1,2.714e+03,3.920e+04,1.349e+04,5.541e+04
54.6,2.628e+03,4.113e+04,1.637e+04,6.013e+04
56.1,3.324e+03,4.824e+04,2.585e+04,7.741e+04
57.6,3.620e+03,4.711e+04,3.733e+04,8.807e+04
59.0,3.081e+03,3.594e+04,4.091e+04,7.993e+04
60.5,3.025e+03,2.469e+04,3.499e+04,6.271e+04
62.0,2.684e+03,1.779e+04,2.769e+04,4.816e+04
63.5,1.842e+03,1.288e+04,2.377e+04,3.850e+04
64.9,9.119e+02,9.379e+03,2.091e+04,3.120e+04
66.4,4.586e+02,7.643e+03,1.791e+04,2.601e+04
67.9,3.082e+02,6.391e+03,1.551e+04,2.221e+04
69.4,2.496e+02,5.733e+03,1.304e+04,1.903e+04
70.8,2.315e+02,5.627e+03,1.119e+04,1.705e+04
72.3,2.835e+02,6.231e+03,9.972e+03,1.649e+04
73.8,5.043e+02,9.435e+03,9.722e+03,1.966e+04
75.3,8.952e+02,1.450e+04,9.069e+03,2.447e+04
76.7,1.330e+03,1.742e+04,7.241e+03,2.599e+04
78.2,1.554e+03,1.807e+04,5.136e+03,2.476e+04
79.7,1.488e+03,1.716e+04,3.672e+03,2.232e+04
81.2,1.273e+03,1.536e+04,3.005e+03,1.964e+04
82.7,1.316e+03,1.427e+04,2.480e+03,1.807e+04
84.1,1.357e+03,1.221e+04,1.987e+03,1.555e+04
85.6,1.221e+03,9.853e+03,1.921e+03,1.299e+04
87.1,1.112e+03,7.925e+03,2.059e+03,1.110e+04
88.6,1.102e+03,6.549e+03,3.159e+03,1.081e+04
90.0,1.274e+03,7.259e+03,6.114e+03,1.465e+04
91.5,1.113e+03,4.899e+03,3.582e+03,9.593e+03
93.0,9.404e+02,4.473e+03,3.110e+03,8.524e+03
94.5,7.715e+02,5.247e+03,3.701e+03,9.720e+03
95.9,7.511e+02,6.835e+03,4.519e+03,1.211e+04
97.4,6.394e+02,8.994e+03,5.783e+03,1.542e+04
98.9,7.302e+02,1.285e+04,7.942e+03,2.152e+04
100.4,1.091e+03,1.870e+04,1.054e+04,3.033e+04
101.8,1.564e+03,2.482e+04,1.228e+04,3.866e+04
103.3,1.974e+03,3.105e+04,1.353e+04,4.656e+04
104.8,2.076e+03,3.608e+04,1.416e+04,5.232e+04
106.3,1.807e+03,3.982e+04,1.433e+04,5.596e+04
107.7,1.301e+03,4.230e+04,1.440e+04,5.800e+04
109.2,1.067e+03,4.360e+04,1.419e+04,5.886e+04
110.7,1.448e+03,4.339e+04,1.374e+04,5.858e+04
112.2,1.804e+03,4.112e+04,1.291e+04,5.583e+04
113.6,1.222e+03,3.739e+04,1.159e+04,5.020e+04
115.1,8.174e+02,3.355e+04,1.067e+04,4.504e+04
116.6,8.027e+02,2.935e+04,9.911e+03,4.006e+04
118.1,8.210e+02,2.470e+04,8.743e+03,3.427e+04
119.5,7.598e+02,1.988e+04,7.355e+03,2.799e+04
121.0,4.959e+02,1.213e+04,4.670e+03,1.730e+04
122.5,2.981e+02,7.030e+03,2.852e+03,1.018e+04
124.0,2.627e+02,5.756e+03,2.530e+03,8.548e+03
125.5,2.454e+02,4.891e+03,2.301e+03,7.437e+03
126.9,2.478e+02,4.306e+03,2.026e+03,6.579e+03
128.4,2.428e+02,3.702e+03,1.691e+03,5.636e+03
129.9,2.606e+02,3.356e+03,1.502e+03,5.118e+03
131.4,3.156e+02,3.167e+03,1.368e+03,4.851e+03
132.8,3.194e+02,1.816e+03,7.405e+02,2.876e+03
134.3,3.105e+02,5.080e+02,1.643e+02,9.828e+02
135.8,3.119e+02,4.148e+02,1.142e+02,8.409e+02
137.3,3.004e+02,4.224e+02,1.091e+02,8.320e+02
138.7,2.731e+02,4.362e+02,1.156e+02,8.249e+02
140.2,2.682e+02,4.184e+02,1.236e+02,8.103e+02
141.7,2.648e+02,3.921e+02,1.205e+02,7.773e+02
143.2,2.398e+02,3.478e+02,1.032e+02,6.908e+02
144.6,2.222e+02,2.981e+02,9.444e+01,6.147e+02
146.1,2.187e+02,2.444e+02,9.207e+01,5.552e+02
147.6,2.903e+02,2.808e+02,1.169e+02,6.880e+02
149.1,3.291e+02,3.311e+02,1.510e+02,8.111e+02
150.5,3.061e+02,3.404e+02,1.561e+02,8.027e+02
152.0,3.024e+02,3.545e+02,1.591e+02,8.160e+02
153.5,3.214e+02,4.106e+02,1.871e+02,9.191e+02
155.0,3.355e+02,4.780e+02,2.146e+02,1.028e+03
156.4,3.467e+02,5.145e+02,2.249e+02,1.086e+03
157.9,4.120e+02,5.874e+02,2.570e+02,1.256e+03
159.4,6.148e+02,8.564e+02,3.411e+02,1.812e+03
160.9,6.508e+02,1.186e+03,4.181e+02,2.255e+03
162.4,5.753e+02,1.319e+03,4.511e+02,2.345e+03
163.8,5.673e+02,1.358e+03,4.699e+02,2.395e+03
165.3,5.546e+02,1.311e+03,4.759e+02,2.341e+03
166.8,5.528e+02,1.247e+03,4.612e+02,2.261e+03
168.3,4.729e+02,1.054e+03,4.087e+02,1.935e+03
169.7,4.001e+02,9.932e+02,3.933e+02,1.787e+03
171.2,3.191e+02,8.697e+02,3.420e+02,1.531e+03
172.7,2.528e+02,7.278e+02,2.916e+02,1.272e+03
174.2,2.184e+02,6.076e+02,2.546e+02,1.081e+03
175.6,2.394e+02,6.485e+02,2.682e+02,1.156e+03
177.1,2.639e+02,6.632e+02,2.902e+02,1.217e+03
178.6,2.869e+02,6.359e+02,2.968e+02,1.220e+03
180.1,3.045e+02,5.864e+02,2.912e+02,1.182e+03
181.5,3.052e+02,5.154e+02,2.821e+02,1.103e+03
183.0,3.365e+02,4.735e+02,2.783e+02,1.088e+03
184.5,3.214e+02,4.128e+02,2.630e+02,9.972e+02
186.0,3.253e+02,3.944e+02,2.496e+02,9.693e+02
187.4,3.353e+02,3.969e+02,2.523e+02,9.845e+02
188.9,3.210e+02,4.010e+02,2.468e+02,9.688e+02
190.4,3.138e+02,4.476e+02,2.602e+02,1.022e+03
191.9,3.441e+02,5.437e+02,3.161e+02,1.204e+03
193.3,4.189e+02,6.955e+02,4.075e+02,1.522e+03
194.8,4.763e+02,7.919e+02,4.607e+02,1.729e+03
196.3,5.380e+02,7.583e+02,4.680e+02,1.764e+03
197.8,5.890e+02,7.464e+02,4.746e+02,1.810e+03
199.2,5.815e+02,8.715e+02,4.902e+02,1.943e+03
