freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.666e+00,5.422e+02,2.395e+02,7.913e+02
1.5,5.151e+01,3.958e+02,1.891e+03,2.339e+03
3.0,6.226e+01,1.194e+02,1.877e+03,2.059e+03
4.4,5.948e+01,3.113e+02,1.453e+03,1.824e+03
5.9,5.455e+01,1.140e+03,1.111e+03,2.306e+03
7.4,5.870e+01,1.979e+03,1.561e+03,3.599e+03
8.9,6.365e+01,2.895e+03,2.259e+03,5.217e+03
10.3,5.416e+01,4.181e+03,1.459e+03,5.694e+03
11.8,6.288e+01,6.094e+03,1.672e+03,7.828e+03
13.3,5.565e+01,7.098e+03,1.414e+03,8.568e+03
14.8,7.523e+01,8.680e+03,2.032e+03,1.079e+04
16.2,7.420e+01,1.193e+04,1.765e+03,1.377e+04
17.7,8.418e+01,1.599e+04,1.409e+03,1.749e+04
19.2,9.671e+01,2.117e+04,1.683e+03,2.295e+04
20.7,1.148e+02,2.603e+04,1.638e+03,2.779e+04
22.2,1.210e+02,2.949e+04,1.426e+03,3.104e+04
23.6,2.040e+02,3.459e+04,1.851e+03,3.665e+04
25.1,3.271e+02,4.082e+04,1.747e+03,4.289e+04
26.6,2.557e+02,5.567e+04,2.008e+03,5.793e+04
28.1,2.314e+02,8.035e+04,2.153e+03,8.273e+04
29.5,4.631e+02,1.177e+05,2.060e+03,1.202e+05
31.0,7.980e+02,1.872e+05,3.285e+03,1.913e+05
32.5,7.988e+02,3.044e+05,6.484e+03,3.117e+05
34.0,5.200e+02,4.828e+05,1.258e+04,4.959e+05
35.4,9.878e+02,8.148e+05,2.378e+04,8.396e+05
36.9,3.542e+03,1.196e+06,4.051e+04,1.240e+06
38.4,5.133e+03,1.280e+06,4.940e+04,1.335e+06
39.9,4.758e+03,1.039e+06,5.273e+04,1.097e+06
41.4,3.961e+03,7.057e+05,4.385e+04,7.535e+05
42.8,3.946e+03,5.006e+05,3.975e+04,5.443e+05
44.3,4.222e+03,4.099e+05,4.142e+04,4.556e+05
45.8,5.042e+03,3.677e+05,5.308e+04,4.258e+05
47.3,5.168e+03,3.259e+05,6.418e+04,3.953e+05
48.7,3.734e+03,2.818e+05,6.685e+04,3.523e+05
50.2,2.397e+03,2.443e+05,7.644e+04,3.231e+05
51.7,1.404e+03,2.076e+05,8.824e+04,2.973e+05
53.2,1.030e+03,1.638e+05,7.572e+04,2.405e+05
54.6,8.800e+02,1.368e+05,7.569e+04,2.134e+05
56.1,7.695e+02,1.182e+05,9.825e+04,2.172e+05
57.6,5.541e+02,9.235e+04,1.058e+05,1.987e+05
59.1,3.941e+02,7.150e+04,1.018e+05,1.737e+05
60.6,3.332e+02,5.546e+04,9.389e+04,1.497e+05
62.0,4.065e+02,4.240e+04,9.155e+04,1.344e+05
63.5,4.927e+02,3.070e+04,9.037e+04,1.216e+05
65.0,4.513e+02,2.442e+04,7.835e+04,1.032e+05
66.5,3.163e+02,2.303e+04,6.291e+04,8.626e+04
67.9,2.924e+02,2.345e+04,5.130e+04,7.503e+04
69.4,4.480e+02,2.468e+04,4.187e+04,6.700e+04
70.9,7.620e+02,2.618e+04,3.384e+04,6.078e+04
72.4,1.012e+03,2.764e+04,2.586e+04,5.451e+04
73.8,8.651e+02,2.871e+04,1.878e+04,4.835e+04
75.3,5.561e+02,2.900e+04,1.323e+04,4.279e+04
76.8,5.083e+02,2.958e+04,8.840e+03,3.893e+04
78.3,5.173e+02,2.941e+04,5.106e+03,3.503e+04
79.8,6.257e+02,2.886e+04,3.439e+03,3.292e+04
81.2,7.891e+02,2.809e+04,2.939e+03,3.182e+04
82.7,9.913e+02,2.699e+04,3.491e+03,3.147e+04
84.2,1.071e+03,2.476e+04,3.809e+03,2.964e+04
85.7,1.208e+03,2.060e+04,3.520e+03,2.533e+04
87.1,1.707e+03,1.504e+04,3.752e+03,2.050e+04
88.6,1.982e+03,1.028e+04,4.657e+03,1.692e+04
90.1,1.523e+03,8.012e+03,6.228e+03,1.576e+04
91.6,1.030e+03,3.071e+03,4.416e+03,8.517e+03
