#time,accel_x,accel_y,accel_z
2707.924060,689.485948,-444.123565,9326.594869
2707.924389,229.828649,-370.102971,9326.594869
2707.924719,306.438199,-370.102971,9178.553681
2707.925048,536.266849,-222.061783,8956.491898
2707.925377,383.047749,-0.000000,8882.471304
2707.925706,229.828649,-74.020594,9178.553681
2707.926036,383.047749,-0.000000,9104.533087
2707.926365,536.266849,-148.041188,9030.512492
2707.926694,459.657299,-370.102971,8734.430116
2707.927023,153.219100,370.102971,9252.574275
2707.927352,306.438199,-74.020594,9030.512492
2707.927682,76.609550,-0.000000,8882.471304
2707.928011,0.000000,-0.000000,8882.471304
2707.928340,229.828649,-0.000000,8808.450710
2707.928669,306.438199,74.020594,9030.512492
2707.928999,689.485948,-814.226536,8512.368333
2707.929328,0.000000,-0.000000,9104.533087
2707.929657,229.828649,-0.000000,8956.491898
2707.929986,306.438199,-74.020594,8882.471304
2707.930316,383.047749,-74.020594,8956.491898
2707.930645,306.438199,-0.000000,9030.512492
2707.930974,459.657299,-518.144159,9178.553681
2707.931303,383.047749,-222.061783,9326.594869
2707.931632,459.657299,-296.082377,8882.471304
2707.931962,383.047749,-74.020594,8956.491898
2707.932291,306.438199,-222.061783,9178.553681
2707.932620,306.438199,-370.102971,9178.553681
2707.932949,383.047749,-296.082377,9104.533087
2707.933279,459.657299,-74.020594,9400.615463
2707.933608,612.876398,-370.102971,9252.574275
2707.933937,919.314598,-370.102971,9326.594869
2707.934266,612.876398,-74.020594,9178.553681
2707.934596,383.047749,-0.000000,9326.594869
2707.934925,383.047749,-222.061783,9104.533087
2707.935254,306.438199,-74.020594,9178.553681
2707.935583,306.438199,-0.000000,9030.512492
2707.935912,612.876398,-0.000000,9178.553681
2707.936242,383.047749,-0.000000,9178.553681
2707.936571,229.828649,-0.000000,9326.594869
2707.936900,459.657299,-0.000000,8956.491898
2707.937229,306.438199,-0.000000,9104.533087
2707.937559,306.438199,-0.000000,9030.512492
2707.937888,383.047749,-148.041188,9178.553681
2707.938217,536.266849,-0.000000,9400.615463
2707.938546,383.047749,148.041188,9030.512492
2707.938876,459.657299,-74.020594,8808.450710
2707.939205,383.047749,-0.000000,9104.533087
2707.939534,76.609550,-0.000000,8882.471304
2707.939863,0.000000,-0.000000,8956.491898
2707.940192,383.047749,-148.041188,9178.553681
2707.940522,383.047749,-296.082377,9030.512492
2707.940851,459.657299,-592.164754,8512.368333
2707.941180,306.438199,-74.020594,8882.471304
2707.941509,306.438199,-0.000000,8956.491898
2707.941839,229.828649,-74.020594,9178.553681
2707.942168,76.609550,-74.020594,8956.491898
2707.942497,612.876398,-74.020594,9178.553681
2707.942826,-229.828649,-222.061783,9326.594869
2707.943155,842.705048,-740.205942,9326.594869
2707.943485,76.609550,-296.082377,9252.574275
2707.943814,76.609550,-222.061783,9178.553681
2707.944143,153.219100,-296.082377,9252.574275
2707.944472,229.828649,-296.082377,9252.574275
2707.944802,459.657299,-222.061783,8808.450710
2707.945131,383.047749,-814.226536,9030.512492
2707.945460,153.219100,-222.061783,9326.594869
2707.945789,689.485948,-222.061783,8808.450710
2707.946119,383.047749,-148.041188,9178.553681
2707.946448,536.266849,-74.020594,9030.512492
2707.946777,536.266849,-222.061783,9178.553681
2707.947106,383.047749,-74.020594,9400.615463
2707.947435,919.314598,-74.020594,9252.574275
2707.947765,689.485948,-148.041188,8660.409521
2707.948094,383.047749,-74.020594,9030.512492
2707.948423,306.438199,-0.000000,9178.553681
2707.948752,383.047749,-0.000000,9030.512492
2707.949082,229.828649,-0.000000,8808.450710
2707.949411,306.438199,-0.000000,8882.471304
2707.949740,-306.438199,-0.000000,9400.615463
2707.950069,76.609550,-74.020594,8808.450710
2707.950399,76.609550,-74.020594,9030.512492
2707.950728,229.828649,-74.020594,8882.471304
2707.951057,229.828649,-74.020594,9030.512492
2707.951386,153.219100,-0.000000,8808.450710
2707.951715,76.609550,-370.102971,9030.512492
2707.952045,-766.095498,-148.041188,9178.553681
2707.952374,612.876398,-0.000000,8808.450710
2707.952703,229.828649,-148.041188,8734.430116
2707.953032,76.609550,-296.082377,9104.533087
2707.953362,153.219100,-444.123565,9178.553681
2707.953691,76.609550,-296.082377,9030.512492
2707.954020,0.000000,-814.226536,9474.636058
2707.954349,459.657299,-518.144159,9178.553681
2707.954679,689.485948,-740.205942,9918.759623
2707.955008,1225.752797,-888.247130,9696.697840
