#time,accel_x,accel_y,accel_z
2460.580022,383.047749,-148.041188,9178.553681
2460.580351,-153.219100,-148.041188,9104.533087
2460.580680,536.266849,-0.000000,9104.533087
2460.581009,536.266849,-0.000000,8882.471304
2460.581338,459.657299,-0.000000,9104.533087
2460.581667,459.657299,-0.000000,8882.471304
2460.581996,383.047749,-222.061783,9030.512492
2460.582325,459.657299,-518.144159,9400.615463
2460.582654,689.485948,-370.102971,9326.594869
2460.582983,306.438199,-148.041188,9252.574275
2460.583312,306.438199,-148.041188,9104.533087
2460.583641,153.219100,-222.061783,9326.594869
2460.583970,76.609550,-296.082377,9030.512492
2460.584298,383.047749,-370.102971,9400.615463
2460.584627,-153.219100,-222.061783,9326.594869
2460.584956,995.924147,-296.082377,9104.533087
2460.585285,689.485948,-296.082377,9178.553681
2460.585614,306.438199,-222.061783,9326.594869
2460.585943,383.047749,-0.000000,9252.574275
2460.586272,306.438199,-222.061783,9178.553681
2460.586601,0.000000,-74.020594,9400.615463
2460.586930,689.485948,-222.061783,9178.553681
2460.587259,383.047749,-296.082377,8808.450710
2460.587588,306.438199,-518.144159,8512.368333
2460.587917,153.219100,-0.000000,9252.574275
2460.588246,229.828649,-0.000000,9104.533087
2460.588575,306.438199,-74.020594,9104.533087
2460.588904,153.219100,-222.061783,9400.615463
2460.589233,383.047749,-148.041188,8956.491898
2460.589562,459.657299,-74.020594,8734.430116
2460.589891,229.828649,-74.020594,8808.450710
2460.590220,306.438199,-0.000000,8734.430116
2460.590549,306.438199,-0.000000,8808.450710
2460.590878,536.266849,-0.000000,9030.512492
2460.591207,383.047749,-0.000000,8956.491898
2460.591535,-306.438199,-0.000000,9178.553681
2460.591864,842.705048,-74.020594,8882.471304
2460.592193,536.266849,-296.082377,8882.471304
2460.592522,459.657299,-0.000000,8882.471304
2460.592851,536.266849,-0.000000,9178.553681
2460.593180,153.219100,-0.000000,9104.533087
2460.593509,0.000000,-148.041188,9030.512492
2460.593838,306.438199,-296.082377,9252.574275
2460.594167,536.266849,222.061783,9030.512492
2460.594496,306.438199,-814.226536,8660.409521
2460.594825,383.047749,-370.102971,8956.491898
2460.595154,383.047749,-148.041188,9178.553681
2460.595483,383.047749,-74.020594,9178.553681
2460.595812,76.609550,-370.102971,9252.574275
2460.596141,612.876398,-148.041188,9474.636058
2460.596470,536.266849,-518.144159,9030.512492
2460.596799,76.609550,-370.102971,9030.512492
2460.597128,306.438199,-222.061783,9178.553681
2460.597457,229.828649,-222.061783,9178.553681
2460.597786,229.828649,-296.082377,9178.553681
2460.598115,383.047749,-0.000000,9400.615463
2460.598444,-306.438199,-222.061783,9326.594869
2460.598772,766.095498,-444.123565,9104.533087
2460.599101,383.047749,-370.102971,9178.553681
2460.599430,229.828649,-0.000000,9104.533087
2460.599759,153.219100,-74.020594,8956.491898
2460.600088,306.438199,-0.000000,9104.533087
2460.600417,0.000000,148.041188,9030.512492
2460.600746,459.657299,-74.020594,9030.512492
2460.601075,306.438199,-74.020594,9030.512492
2460.601404,306.438199,518.144159,9474.636058
2460.601733,459.657299,-0.000000,8956.491898
2460.602062,153.219100,-0.000000,8808.450710
2460.602391,229.828649,-0.000000,8882.471304
2460.602720,1072.533697,-370.102971,9178.553681
2460.603049,536.266849,-148.041188,8956.491898
2460.603378,536.266849,-814.226536,8808.450710
2460.603707,689.485948,-148.041188,9252.574275
2460.604036,306.438199,-222.061783,8956.491898
2460.604365,459.657299,-296.082377,8956.491898
2460.604694,536.266849,-74.020594,9178.553681
2460.605023,612.876398,-444.123565,9252.574275
2460.605352,536.266849,-666.185348,8882.471304
2460.605680,383.047749,-370.102971,9326.594869
2460.606009,229.828649,-74.020594,9326.594869
2460.606338,842.705048,-518.144159,9104.533087
2460.606667,306.438199,-222.061783,9326.594869
2460.606996,153.219100,-74.020594,9474.636058
2460.607325,306.438199,-222.061783,9326.594869
2460.607654,229.828649,-296.082377,9104.533087
2460.607983,306.438199,-148.041188,9400.615463
2460.608312,766.095498,-0.000000,9400.615463
2460.608641,689.485948,-444.123565,9104.533087
2460.608970,306.438199,-296.082377,9178.553681
2460.609299,459.657299,-370.102971,9696.697840
2460.609628,1302.362347,-1110.308913,9474.636058
2460.609957,1378.971896,-740.205942,9400.615463
2460.610286,1838.629195,-370.102971,9326.594869
2460.610615,2451.505594,-222.061783,9252.574275
2460.610944,2987.772442,444.123565,8734.430116
2460.611273,3064.381992,296.082377,9622.677246
2460.611602,4060.306139,-0.000000,8364.327145
2460.611931,3294.210641,518.144159,8142.265362
2460.612260,2834.553343,814.226536,8512.368333
2460.612589,2757.943793,370.102971,8216.285956
