#time,accel_x,accel_y,accel_z
2497.375748,459.657299,-222.061783,9252.574275
2497.376077,459.657299,148.041188,9474.636058
2497.376405,459.657299,-518.144159,9030.512492
2497.376734,383.047749,-222.061783,9326.594869
2497.377063,306.438199,-148.041188,9252.574275
2497.377392,229.828649,-148.041188,9178.553681
2497.377721,383.047749,-148.041188,9104.533087
2497.378050,383.047749,-148.041188,9178.553681
2497.378379,0.000000,-74.020594,9400.615463
2497.378707,612.876398,-0.000000,8882.471304
2497.379036,229.828649,-74.020594,9474.636058
2497.379365,76.609550,-148.041188,9104.533087
2497.379694,306.438199,-74.020594,9030.512492
2497.380023,459.657299,-74.020594,8956.491898
2497.380352,229.828649,-0.000000,9104.533087
2497.380680,459.657299,-518.144159,9030.512492
2497.381009,612.876398,-0.000000,9252.574275
2497.381338,383.047749,-0.000000,9104.533087
2497.381667,229.828649,-0.000000,8808.450710
2497.381996,229.828649,-0.000000,8734.430116
2497.382325,383.047749,-0.000000,8882.471304
2497.382653,306.438199,-0.000000,8734.430116
2497.382982,612.876398,-666.185348,8808.450710
2497.383311,383.047749,-444.123565,8882.471304
2497.383640,153.219100,-74.020594,8956.491898
2497.383969,229.828649,-0.000000,8956.491898
2497.384298,229.828649,-148.041188,8956.491898
2497.384627,229.828649,-148.041188,9030.512492
2497.384955,612.876398,-148.041188,9178.553681
2497.385284,153.219100,-370.102971,8956.491898
2497.385613,766.095498,-0.000000,9178.553681
2497.385942,306.438199,-296.082377,8956.491898
2497.386271,306.438199,-148.041188,9252.574275
2497.386600,459.657299,-222.061783,9326.594869
2497.386928,306.438199,-148.041188,9252.574275
2497.387257,383.047749,-148.041188,9474.636058
2497.387586,536.266849,-222.061783,9252.574275
2497.387915,0.000000,-296.082377,9178.553681
2497.388244,0.000000,-444.123565,9030.512492
2497.388573,306.438199,-296.082377,9104.533087
2497.388901,153.219100,-148.041188,9326.594869
2497.389230,229.828649,-74.020594,9178.553681
2497.389559,229.828649,-0.000000,8956.491898
2497.389888,-153.219100,-74.020594,9252.574275
2497.390217,766.095498,-222.061783,9400.615463
2497.390546,536.266849,-148.041188,9104.533087
2497.390875,306.438199,-0.000000,9030.512492
2497.391203,459.657299,-0.000000,9104.533087
2497.391532,306.438199,-74.020594,8882.471304
2497.391861,0.000000,-222.061783,8956.491898
2497.392190,766.095498,-222.061783,8956.491898
2497.392519,76.609550,-74.020594,9104.533087
2497.392848,306.438199,-0.000000,9178.553681
2497.393176,306.438199,-0.000000,8956.491898
2497.393505,229.828649,-0.000000,8808.450710
2497.393834,306.438199,-222.061783,8956.491898
2497.394163,689.485948,-370.102971,8808.450710
2497.394492,536.266849,-0.000000,9474.636058
2497.394821,306.438199,-518.144159,8734.430116
2497.395149,383.047749,-296.082377,8882.471304
2497.395478,383.047749,-74.020594,8956.491898
2497.395807,306.438199,-0.000000,8956.491898
2497.396136,383.047749,-296.082377,9104.533087
2497.396465,-76.609550,-296.082377,9326.594869
2497.396794,766.095498,-370.102971,9030.512492
2497.397122,766.095498,-370.102971,9104.533087
2497.397451,383.047749,-148.041188,9178.553681
2497.397780,153.219100,-148.041188,9252.574275
2497.398109,383.047749,-222.061783,9104.533087
2497.398438,229.828649,-222.061783,9178.553681
2497.398767,459.657299,-222.061783,9474.636058
2497.399096,0.000000,-148.041188,9178.553681
2497.399424,689.485948,-148.041188,9474.636058
2497.399753,536.266849,-222.061783,9252.574275
2497.400082,612.876398,-148.041188,9326.594869
2497.400411,383.047749,-222.061783,9104.533087
2497.400740,459.657299,-74.020594,9104.533087
2497.401069,76.609550,-370.102971,9104.533087
2497.401397,536.266849,-148.041188,8882.471304
2497.401726,536.266849,-74.020594,9178.553681
2497.402055,459.657299,-74.020594,8956.491898
2497.402384,306.438199,-222.061783,9104.533087
2497.402713,229.828649,-148.041188,9030.512492
2497.403042,306.438199,-74.020594,8808.450710
2497.403370,229.828649,-148.041188,8882.471304
2497.403699,306.438199,-74.020594,8956.491898
2497.404028,229.828649,-222.061783,8882.471304
2497.404357,383.047749,-148.041188,9400.615463
2497.404686,1455.581446,-740.205942,9844.739029
2497.405015,1455.581446,-1258.350101,9252.574275
2497.405344,1378.971896,-370.102971,9326.594869
2497.405672,1838.629195,-518.144159,9104.533087
2497.406001,2451.505594,-0.000000,8660.409521
2497.406330,3294.210641,296.082377,8660.409521
2497.406659,4290.134789,-74.020594,8956.491898
2497.406988,4060.306139,-0.000000,8808.450710
2497.407317,3447.429741,592.164754,8808.450710
2497.407645,3064.381992,592.164754,8290.306550
2497.407974,2911.162892,-148.041188,9326.594869
2497.408303,2834.553343,-518.144159,9030.512492
2497.408632,2298.286494,-592.164754,9400.615463
2497.408961,1762.019645,-1924.535449,10362.883188
2497.409290,1991.848295,-1702.473667,9770.718434
2497.409618,2374.896044,-222.061783,9548.656652
2497.409947,2298.286494,-1406.391290,10066.800811
2497.410276,3140.991542,-888.247130,9178.553681
2497.410605,3753.867940,592.164754,9770.718434
2497.410934,5286.058936,814.226536,8068.244768
2497.411263,4519.963438,1184.329507,8364.327145
2497.411592,4749.792088,1332.370696,9622.677246
2497.411920,5132.839837,1406.391290,7105.977043
2497.412249,4136.915689,962.267725,8216.285956
2497.412578,3907.087040,148.041188,9030.512492
2497.412907,2604.724693,370.102971,8364.327145
2497.413236,1762.019645,-444.123565,9622.677246
2497.413565,995.924147,-1258.350101,9326.594869
2497.413893,1838.629195,-962.267725,9918.759623
2497.414222,-229.828649,-1332.370696,9918.759623
2497.414551,1685.410096,-518.144159,9548.656652
2497.414880,1225.752797,-592.164754,10362.883188
2497.415209,3064.381992,444.123565,8438.347739
2497.415538,3524.039291,-296.082377,8882.471304
2497.415866,4443.353888,1554.432478,8956.491898
2497.416195,3677.258390,814.226536,8290.306550
2497.416524,4749.792088,1184.329507,7772.162391
2497.416853,4443.353888,666.185348,8808.450710
2497.417182,4290.134789,-0.000000,8290.306550
2497.417511,3524.039291,-666.185348,8882.471304
2497.417840,2987.772442,-1406.391290,9622.677246
2497.418168,2987.772442,-1628.453072,10362.883188
2497.418497,2068.457845,-2368.659014,9622.677246
2497.418826,1915.238745,-1924.535449,10362.883188
2497.419155,2068.457845,-1184.329507,9622.677246
2497.419484,2528.115143,-444.123565,9548.656652
2497.419813,3064.381992,296.082377,8586.388927
2497.420141,3753.867940,1480.411884,9030.512492
2497.420470,4136.915689,2072.576638,8216.285956
2497.420799,4136.915689,2368.659014,7698.141797
2497.421128,3830.477490,2442.679609,7772.162391
2497.421457,3830.477490,2146.597232,7920.203579
2497.421786,3064.381992,962.267725,7846.182985
2497.422114,2298.286494,-148.041188,8808.450710
2497.422443,1532.190996,-1036.288319,9474.636058
2497.422772,1225.752797,-2220.617826,10288.862594
2497.423101,612.876398,-2368.659014,11177.109724
2497.423430,842.705048,-2738.761985,10732.986159
2497.423759,1149.143247,-1628.453072,10584.944971
2497.424088,1685.410096,-592.164754,9918.759623
2497.424416,2451.505594,444.123565,9326.594869
2497.424745,2911.162892,1998.556043,9030.512492
2497.425074,3524.039291,2812.782580,8290.306550
2497.425403,3064.381992,3034.844362,7179.997637
2497.425732,2298.286494,2738.761985,7254.018232
2497.426061,689.485948,1924.535449,7476.080014
2497.426389,-612.876398,296.082377,8586.388927
2497.426718,-1838.629195,-1776.494261,9622.677246
2497.427047,-1991.848295,-3330.926739,10066.800811
2497.427376,-1685.410096,-3404.947333,9326.594869
2497.427705,-2068.457845,-3404.947333,10066.800811
2497.428034,-2451.505594,-2886.803174,10214.842000
2497.428362,-1991.848295,-2442.679609,10807.006753
2497.428691,-1149.143247,-1480.411884,10955.047942
2497.429020,0.000000,-296.082377,9992.780217
2497.429349,459.657299,1036.288319,8808.450710
2497.429678,0.000000,1998.556043,9178.553681
2497.430007,0.000000,1480.411884,10214.842000
2497.430336,2451.505594,1036.288319,8882.471304
2497.430664,4136.915689,1998.556043,6365.771101
2497.430993,4826.401637,1850.514855,6143.709319
2497.431322,4366.744339,1554.432478,5921.647536
2497.431651,3830.477490,1110.308913,6883.915261
2497.431980,2757.943793,-740.205942,7624.121203
2497.432309,2298.286494,-1628.453072,8142.265362
2497.432637,459.657299,-1850.514855,9178.553681
2497.432966,-1225.752797,-2072.576638,9844.739029
2497.433295,-1991.848295,-2590.720797,10955.047942
2497.433624,-1608.800546,-1332.370696,10362.883188
2497.433953,-1149.143247,-1258.350101,9992.780217
2497.434282,-689.485948,-444.123565,10584.944971
2497.434610,-766.095498,1036.288319,9992.780217
2497.434939,-995.924147,148.041188,9918.759623
2497.435268,-1378.971896,-518.144159,9548.656652
2497.435597,-842.705048,-148.041188,9474.636058
2497.435926,-995.924147,-518.144159,9326.594869
2497.436255,-229.828649,-148.041188,9474.636058
2497.436583,-383.047749,-148.041188,9030.512492
2497.436912,383.047749,-74.020594,8364.327145
2497.437241,842.705048,-74.020594,7772.162391
2497.437570,1149.143247,-0.000000,7624.121203
2497.437899,1915.238745,222.061783,8068.244768
2497.438228,1991.848295,-0.000000,8142.265362
2497.438557,1762.019645,-0.000000,8956.491898
2497.438885,2068.457845,-296.082377,9474.636058
2497.439214,2528.115143,-0.000000,9474.636058
2497.439543,2221.676944,888.247130,8660.409521
2497.439872,1915.238745,1258.350101,8882.471304
2497.440201,1532.190996,1036.288319,9030.512492
2497.440530,919.314598,888.247130,9326.594869
2497.440858,0.000000,888.247130,9474.636058
2497.441187,0.000000,-222.061783,9326.594869
2497.441516,-1302.362347,-888.247130,9104.533087
2497.441845,-1072.533697,-2294.638420,9844.739029
2497.442174,-1225.752797,-2368.659014,9622.677246
2497.442503,-1072.533697,-2220.617826,9548.656652
2497.442831,-995.924147,-1776.494261,9696.697840
2497.443160,0.000000,-1036.288319,9252.574275
2497.443489,229.828649,-666.185348,9696.697840
2497.443818,-306.438199,-0.000000,9400.615463
2497.444147,0.000000,1110.308913,9844.739029
2497.444476,306.438199,1554.432478,9474.636058
2497.444805,1225.752797,1554.432478,8956.491898
2497.445133,2145.067394,1850.514855,7920.203579
2497.445462,2451.505594,1036.288319,8142.265362
2497.445791,2681.334243,592.164754,7624.121203
2497.446120,1685.410096,-222.061783,7698.141797
2497.446449,842.705048,-888.247130,7994.224174
2497.446778,842.705048,-1406.391290,8512.368333
2497.447106,229.828649,-1924.535449,9104.533087
2497.447435,-459.657299,-1850.514855,9252.574275
2497.447764,-459.657299,-1480.411884,9474.636058
2497.448093,-689.485948,-592.164754,9474.636058
2497.448422,0.000000,-0.000000,9474.636058
2497.448751,-536.266849,222.061783,9474.636058
2497.449079,-689.485948,296.082377,9474.636058
2497.449408,-612.876398,592.164754,9696.697840
2497.449737,-612.876398,-0.000000,9474.636058
2497.450066,-612.876398,-0.000000,8956.491898
2497.450395,-1072.533697,-666.185348,9400.615463
2497.450724,-459.657299,-222.061783,9474.636058
2497.451053,-842.705048,-74.020594,9326.594869
2497.451381,-766.095498,-222.061783,8660.409521
2497.451710,-153.219100,-148.041188,8290.306550
2497.452039,-229.828649,-0.000000,8438.347739
2497.452368,229.828649,-0.000000,8586.388927
2497.452697,766.095498,-592.164754,8882.471304
2497.453026,76.609550,-814.226536,9400.615463
2497.453355,229.828649,-1184.329507,9696.697840
2497.453684,612.876398,-1258.350101,10288.862594
2497.454013,1685.410096,-444.123565,9622.677246
2497.454343,2451.505594,740.205942,8660.409521
2497.454672,2911.162892,1332.370696,8586.388927
2497.455001,2604.724693,2368.659014,8216.285956
2497.455330,2911.162892,2294.638420,8364.327145
2497.455659,1685.410096,1924.535449,7698.141797
2497.455988,842.705048,888.247130,8290.306550
2497.456317,-383.047749,-370.102971,9400.615463
2497.456646,-995.924147,-1628.453072,9696.697840
2497.456976,-1302.362347,-2516.700203,9992.780217
2497.457305,-1608.800546,-2664.741391,9696.697840
2497.457634,-1302.362347,-2886.803174,10288.862594
2497.457963,-919.314598,-1480.411884,9252.574275
2497.458292,-1378.971896,-370.102971,10436.903782
