#time,accel_x,accel_y,accel_z
2653.520858,459.657299,-74.020594,9326.594869
2653.521187,536.266849,-148.041188,8660.409521
2653.521516,306.438199,-0.000000,9252.574275
2653.521845,306.438199,-0.000000,9030.512492
2653.522174,229.828649,-0.000000,9252.574275
2653.522503,306.438199,-0.000000,9030.512492
2653.522831,689.485948,-0.000000,9104.533087
2653.523160,76.609550,-222.061783,8734.430116
2653.523489,459.657299,-222.061783,9104.533087
2653.523818,842.705048,-444.123565,9030.512492
2653.524147,306.438199,-222.061783,8956.491898
2653.524476,306.438199,-222.061783,8956.491898
2653.524805,383.047749,-0.000000,9030.512492
2653.525134,306.438199,-0.000000,8808.450710
2653.525462,0.000000,-370.102971,8956.491898
2653.525791,153.219100,-148.041188,9178.553681
2653.526120,76.609550,-0.000000,9326.594869
2653.526449,76.609550,-222.061783,9030.512492
2653.526778,153.219100,-74.020594,8808.450710
2653.527107,76.609550,-296.082377,9104.533087
2653.527436,383.047749,-0.000000,8956.491898
2653.527765,612.876398,-592.164754,8734.430116
2653.528093,306.438199,-444.123565,9104.533087
2653.528422,306.438199,-370.102971,9326.594869
2653.528751,459.657299,-370.102971,8882.471304
2653.529080,229.828649,-296.082377,8882.471304
2653.529409,536.266849,-222.061783,9104.533087
2653.529738,76.609550,-148.041188,9400.615463
2653.530067,842.705048,-370.102971,9400.615463
2653.530396,459.657299,-740.205942,8956.491898
2653.530724,383.047749,-296.082377,8956.491898
2653.531053,536.266849,-370.102971,9178.553681
2653.531382,459.657299,-222.061783,9178.553681
2653.531711,229.828649,-0.000000,9030.512492
2653.532040,229.828649,-0.000000,9030.512492
2653.532369,459.657299,-0.000000,9030.512492
2653.532698,612.876398,-148.041188,9178.553681
2653.533026,229.828649,-222.061783,9030.512492
2653.533355,459.657299,-222.061783,8882.471304
2653.533684,0.000000,-0.000000,9104.533087
2653.534013,76.609550,-0.000000,9178.553681
2653.534342,459.657299,-0.000000,9104.533087
2653.534671,-612.876398,-74.020594,9030.512492
2653.535000,383.047749,-222.061783,9252.574275
2653.535329,459.657299,-296.082377,8808.450710
2653.535657,459.657299,-222.061783,8808.450710
2653.535986,536.266849,-148.041188,9030.512492
2653.536315,229.828649,-222.061783,8956.491898
2653.536644,76.609550,-0.000000,8882.471304
2653.536973,459.657299,-222.061783,9178.553681
2653.537302,612.876398,-148.041188,8956.491898
2653.537631,459.657299,-444.123565,8290.306550
2653.537960,459.657299,-222.061783,8956.491898
2653.538288,306.438199,-148.041188,8956.491898
2653.538617,153.219100,-296.082377,9030.512492
2653.538946,76.609550,-222.061783,9104.533087
2653.539275,536.266849,-370.102971,9178.553681
2653.539604,-689.485948,-0.000000,9326.594869
2653.539933,306.438199,-444.123565,9104.533087
2653.540262,306.438199,-518.144159,9104.533087
2653.540591,229.828649,-148.041188,9252.574275
2653.540919,229.828649,-222.061783,9178.553681
2653.541248,153.219100,-74.020594,9178.553681
2653.541577,459.657299,-0.000000,9474.636058
2653.541906,306.438199,-222.061783,9548.656652
2653.542235,536.266849,-0.000000,9400.615463
2653.542564,306.438199,-0.000000,9400.615463
2653.542893,229.828649,-0.000000,9252.574275
2653.543221,229.828649,-148.041188,9178.553681
2653.543550,229.828649,-222.061783,9104.533087
2653.543879,842.705048,-444.123565,9252.574275
2653.544208,383.047749,-148.041188,9104.533087
2653.544537,229.828649,296.082377,9104.533087
2653.544866,153.219100,-0.000000,9104.533087
2653.545195,536.266849,-74.020594,9178.553681
2653.545524,383.047749,-0.000000,9104.533087
2653.545852,306.438199,-0.000000,9030.512492
2653.546181,383.047749,-74.020594,8956.491898
2653.546510,689.485948,-444.123565,9474.636058
2653.546839,0.000000,-148.041188,9326.594869
2653.547168,1225.752797,-888.247130,9474.636058
2653.547497,1225.752797,-740.205942,9252.574275
2653.547826,1378.971896,-370.102971,9474.636058
2653.548155,1838.629195,-592.164754,9178.553681
2653.548483,2298.286494,-370.102971,8882.471304
2653.548812,4136.915689,-0.000000,9178.553681
2653.549141,3830.477490,-296.082377,8734.430116
2653.549470,3983.696590,296.082377,8438.347739
2653.549799,3140.991542,370.102971,8734.430116
2653.550128,3064.381992,592.164754,8142.265362
2653.550457,2757.943793,-222.061783,9030.512492
2653.550786,3447.429741,-666.185348,9326.594869
2653.551114,1455.581446,-666.185348,9178.553681
2653.551443,1838.629195,-1776.494261,10140.821405
2653.551772,2374.896044,-2072.576638,9696.697840
2653.552101,2528.115143,-148.041188,9474.636058
2653.552430,2374.896044,-1110.308913,9992.780217
2653.552759,3294.210641,-888.247130,9474.636058
2653.553088,3370.820191,222.061783,9622.677246
2653.553417,5439.278036,962.267725,8290.306550
2653.553745,5362.668486,1776.494261,7920.203579
2653.554074,4290.134789,1332.370696,9474.636058
2653.554403,4903.011187,1184.329507,7920.203579
2653.554732,4290.134789,814.226536,7772.162391
2653.555061,3753.867940,222.061783,9030.512492
2653.555390,2528.115143,-0.000000,8660.409521
2653.555719,2221.676944,148.041188,9992.780217
2653.556047,1225.752797,-1554.432478,9622.677246
2653.556376,1532.190996,-592.164754,9992.780217
2653.556705,689.485948,-1258.350101,9696.697840
2653.557034,1302.362347,-814.226536,9770.718434
2653.557363,1225.752797,-814.226536,9844.739029
2653.557692,3064.381992,592.164754,9104.533087
2653.558021,3524.039291,-0.000000,8364.327145
2653.558350,4596.572988,1332.370696,9474.636058
2653.558678,4749.792088,962.267725,7772.162391
2653.559007,4826.401637,1406.391290,7624.121203
2653.559336,4596.572988,1110.308913,8734.430116
2653.559665,4136.915689,-0.000000,8660.409521
2653.559994,3370.820191,-814.226536,9030.512492
2653.560323,2987.772442,-1702.473667,9770.718434
2653.560652,1915.238745,-1554.432478,10881.027347
2653.560981,1302.362347,-2294.638420,9992.780217
2653.561309,1762.019645,-1924.535449,10436.903782
2653.561638,2068.457845,-1406.391290,9844.739029
2653.561967,3064.381992,-518.144159,9696.697840
2653.562296,3600.648841,148.041188,8216.285956
2653.562625,5056.230287,1332.370696,8438.347739
2653.562954,5209.449386,2220.617826,7772.162391
2653.563283,4903.011187,2664.741391,7476.080014
2653.563612,4596.572988,2812.782580,7179.997637
2653.563940,4443.353888,2442.679609,7550.100608
2653.564269,3753.867940,1480.411884,7698.141797
2653.564598,2451.505594,-148.041188,8808.450710
2653.564927,3370.820191,-1628.453072,10140.821405
2653.565256,1762.019645,-2812.782580,10510.924376
2653.565585,1302.362347,-3627.009116,11029.068536
2653.565914,1685.410096,-3256.906145,11177.109724
2653.566242,2604.724693,-2516.700203,11103.089130
2653.566571,3447.429741,-888.247130,10288.862594
2653.566900,5132.839837,222.061783,9622.677246
2653.567229,6052.154434,1480.411884,8512.368333
2653.567558,6588.421283,2664.741391,7846.182985
2653.567887,5132.839837,2960.823768,7698.141797
2653.568216,4749.792088,4071.132681,6587.832884
2653.568545,4366.744339,3775.050304,6661.853478
2653.568873,3983.696590,2368.659014,6809.894666
2653.569202,2451.505594,518.144159,8068.244768
2653.569531,612.876398,-3849.070898,10362.883188
2653.569860,-612.876398,-4293.194464,10584.944971
2653.570189,-1149.143247,-4737.318029,12361.439231
2653.570518,-1225.752797,-4959.379811,11399.171507
2653.570847,-766.095498,-1628.453072,10732.986159
2653.571176,766.095498,-1258.350101,10955.047942
2653.571504,1149.143247,592.164754,9474.636058
2653.571833,4903.011187,666.185348,10658.965565
2653.572162,7201.297681,1924.535449,7624.121203
2653.572491,7124.688131,1554.432478,8068.244768
2653.572820,5975.544884,666.185348,7254.018232
2653.573149,5975.544884,2664.741391,6143.709319
2653.573478,5669.106685,2886.803174,7031.956449
2653.573807,4903.011187,2146.597232,6217.729913
2653.574135,5362.668486,3034.844362,7105.977043
2653.574464,4826.401637,2368.659014,5699.585753
2653.574793,3753.867940,-1628.453072,7994.224174
2653.575122,0.000000,-5995.668130,11695.253884
2653.575451,-766.095498,-6957.935855,13249.686362
2653.575780,-2451.505594,-3552.988522,12731.542202
2653.576109,-995.924147,-7105.977043,14211.954086
2653.576438,-1915.238745,-1110.308913,9474.636058
2653.576766,1991.848295,-0.000000,12287.418637
2653.577095,3370.820191,962.267725,10732.986159
2653.577424,5745.716235,2368.659014,8438.347739
2653.577753,7890.783629,1036.288319,9252.574275
2653.578082,7737.564530,3182.885551,7772.162391
2653.578411,7890.783629,4589.276840,4811.338623
2653.578740,7584.345430,2368.659014,4737.318029
2653.579068,7584.345430,1554.432478,5403.503377
2653.579397,7354.516781,2664.741391,5921.647536
2653.579726,6205.373534,592.164754,6883.915261
2653.580055,3830.477490,2664.741391,5329.482782
2653.580384,3677.258390,-1776.494261,10066.800811
2653.580713,-612.876398,-5181.441594,14508.036463
2653.581042,-2757.943793,-4885.359217,11843.295072
2653.581371,-2145.067394,-518.144159,12509.480420
2653.581699,-2145.067394,-7105.977043,13249.686362
2653.582028,-1532.190996,1036.288319,10658.965565
2653.582357,2145.067394,-666.185348,12065.356855
2653.582686,76.609550,2368.659014,8586.388927
2653.583015,2987.772442,-592.164754,14434.015869
2653.583344,6971.469032,-0.000000,6735.874072
2653.583673,10572.117872,2146.597232,8512.368333
2653.584002,6818.249932,1406.391290,5181.441594
2653.584330,7737.564530,2368.659014,4293.194464
2653.584659,6588.421283,592.164754,9104.533087
2653.584988,5822.325785,1258.350101,6365.771101
2653.585317,5669.106685,2886.803174,6661.853478
2653.585646,3370.820191,1628.453072,7550.100608
2653.585975,2681.334243,-888.247130,9474.636058
2653.586304,459.657299,-740.205942,12435.459826
2653.586633,536.266849,-3627.009116,11029.068536
2653.586961,-689.485948,-444.123565,10881.027347
2653.587290,76.609550,-5995.668130,13989.892304
2653.587619,-1302.362347,-666.185348,9326.594869
2653.587948,766.095498,-1036.288319,11769.274478
2653.588277,2298.286494,962.267725,8882.471304
2653.588606,3140.991542,2812.782580,8068.244768
2653.588935,5056.230287,1184.329507,7179.997637
2653.589264,4673.182538,2072.576638,7476.080014
2653.589592,4519.963438,1776.494261,7550.100608
2653.589921,3983.696590,444.123565,6735.874072
2653.590250,3830.477490,-1258.350101,7920.203579
2653.590579,2911.162892,-2368.659014,9178.553681
2653.590908,2145.067394,-2220.617826,10510.924376
2653.591237,689.485948,-1924.535449,11177.109724
2653.591566,383.047749,-1702.473667,10732.986159
2653.591894,2374.896044,1184.329507,9992.780217
2653.592223,2604.724693,592.164754,8808.450710
2653.592552,2911.162892,962.267725,9252.574275
2653.592881,3294.210641,2294.638420,8290.306550
2653.593210,4443.353888,1776.494261,7772.162391
2653.593539,3907.087040,2368.659014,7402.059420
2653.593868,2987.772442,962.267725,8068.244768
2653.594197,1225.752797,-1332.370696,8512.368333
2653.594525,229.828649,-1110.308913,8734.430116
2653.594854,-689.485948,-1036.288319,9400.615463
2653.595183,-1991.848295,-2072.576638,10510.924376
2653.595512,-1685.410096,-2072.576638,10732.986159
2653.595841,-1915.238745,-2442.679609,10436.903782
2653.596170,-1225.752797,-1850.514855,10436.903782
2653.596499,-459.657299,-518.144159,9474.636058
2653.596828,-306.438199,-444.123565,10658.965565
2653.597157,-919.314598,-444.123565,11991.336260
2653.597486,1149.143247,888.247130,9918.759623
2653.597815,2834.553343,2146.597232,7772.162391
2653.598144,4443.353888,2442.679609,7624.121203
2653.598473,3524.039291,1702.473667,7105.977043
2653.598802,2528.115143,1554.432478,8216.285956
2653.599131,2298.286494,740.205942,7476.080014
2653.599460,2834.553343,518.144159,7920.203579
2653.599789,1378.971896,-1110.308913,9030.512492
2653.600118,-612.876398,-1998.556043,8808.450710
2653.600448,-2298.286494,-3552.988522,10807.006753
2653.600777,-1915.238745,-2072.576638,10214.842000
2653.601106,0.000000,-888.247130,9770.718434
2653.601435,-229.828649,-222.061783,9918.759623
2653.601764,-536.266849,666.185348,10584.944971
2653.602093,0.000000,518.144159,10362.883188
2653.602422,2374.896044,1036.288319,8586.388927
2653.602751,3447.429741,1628.453072,7550.100608
2653.603080,2451.505594,1850.514855,7105.977043
2653.603409,1991.848295,1850.514855,7624.121203
