#time,accel_x,accel_y,accel_z
2735.312295,536.266849,-222.061783,9030.512492
2735.312624,383.047749,-148.041188,9104.533087
2735.312953,459.657299,-370.102971,9252.574275
2735.313282,306.438199,-444.123565,9400.615463
2735.313612,383.047749,-296.082377,9252.574275
2735.313941,459.657299,-74.020594,9252.574275
2735.314270,383.047749,-148.041188,9104.533087
2735.314600,306.438199,-0.000000,9252.574275
2735.314929,536.266849,-0.000000,9474.636058
2735.315258,536.266849,518.144159,9252.574275
2735.315587,0.000000,-370.102971,9474.636058
2735.315917,153.219100,-148.041188,9104.533087
2735.316246,76.609550,-0.000000,9104.533087
2735.316575,306.438199,-0.000000,9030.512492
2735.316904,306.438199,-0.000000,9104.533087
2735.317234,153.219100,222.061783,9104.533087
2735.317563,76.609550,-74.020594,9178.553681
2735.317892,383.047749,-0.000000,9252.574275
2735.318221,306.438199,-74.020594,8956.491898
2735.318551,459.657299,-0.000000,8882.471304
2735.318880,229.828649,-148.041188,8586.388927
2735.319209,306.438199,148.041188,8882.471304
2735.319538,76.609550,-222.061783,8808.450710
2735.319868,229.828649,-296.082377,8882.471304
2735.320197,306.438199,-296.082377,8882.471304
2735.320526,0.000000,-0.000000,9326.594869
2735.320855,383.047749,-222.061783,8808.450710
2735.321185,383.047749,-148.041188,9104.533087
2735.321514,383.047749,-222.061783,9104.533087
2735.321843,306.438199,-296.082377,8956.491898
2735.322172,306.438199,148.041188,9252.574275
2735.322502,306.438199,-222.061783,9326.594869
2735.322831,306.438199,-222.061783,9104.533087
2735.323160,306.438199,-222.061783,9178.553681
2735.323490,306.438199,-148.041188,9400.615463
2735.323819,459.657299,-222.061783,9178.553681
2735.324148,306.438199,-0.000000,9400.615463
2735.324477,536.266849,-148.041188,9548.656652
2735.324807,306.438199,-370.102971,8882.471304
2735.325136,229.828649,-296.082377,9326.594869
2735.325465,459.657299,-296.082377,9178.553681
2735.325794,383.047749,-222.061783,9252.574275
2735.326124,229.828649,-0.000000,9252.574275
2735.326453,76.609550,-666.185348,9030.512492
2735.326782,383.047749,-296.082377,8882.471304
2735.327111,153.219100,-222.061783,9030.512492
2735.327441,0.000000,-222.061783,9252.574275
2735.327770,306.438199,-0.000000,9178.553681
2735.328099,229.828649,-0.000000,9030.512492
2735.328428,306.438199,-0.000000,8882.471304
2735.328758,306.438199,-222.061783,9030.512492
2735.329087,459.657299,-0.000000,8956.491898
2735.329416,0.000000,-74.020594,9104.533087
2735.329745,306.438199,-74.020594,8882.471304
2735.330075,306.438199,-148.041188,8734.430116
2735.330404,383.047749,-0.000000,8734.430116
2735.330733,76.609550,-0.000000,8586.388927
2735.331063,76.609550,-296.082377,8808.450710
2735.331392,383.047749,-148.041188,9030.512492
2735.331721,153.219100,-444.123565,8956.491898
2735.332050,153.219100,-74.020594,9178.553681
2735.332380,383.047749,-222.061783,9030.512492
2735.332709,383.047749,-222.061783,9030.512492
2735.333038,306.438199,-222.061783,9030.512492
2735.333367,689.485948,-74.020594,9104.533087
2735.333697,919.314598,-0.000000,9030.512492
2735.334026,306.438199,-370.102971,9030.512492
2735.334355,536.266849,-222.061783,9104.533087
2735.334684,153.219100,-370.102971,9252.574275
2735.335014,229.828649,-222.061783,9326.594869
2735.335343,229.828649,-296.082377,9326.594869
2735.335672,0.000000,-814.226536,9326.594869
2735.336001,842.705048,-518.144159,9178.553681
2735.336331,459.657299,-444.123565,9178.553681
2735.336660,689.485948,-148.041188,9104.533087
2735.336989,306.438199,-296.082377,9104.533087
2735.337318,229.828649,-370.102971,9178.553681
2735.337648,306.438199,-148.041188,9030.512492
2735.337977,306.438199,-0.000000,9178.553681
2735.338306,536.266849,-370.102971,9400.615463
2735.338635,1455.581446,-740.205942,9622.677246
2735.338965,1532.190996,-740.205942,9474.636058
2735.339294,1608.800546,-740.205942,9474.636058
2735.339623,1991.848295,-370.102971,9104.533087
2735.339953,2451.505594,-0.000000,8734.430116
2735.340282,3370.820191,-0.000000,9104.533087
2735.340611,4290.134789,-222.061783,8734.430116
2735.340940,3447.429741,-74.020594,8512.368333
2735.341270,3600.648841,666.185348,8290.306550
2735.341599,3140.991542,-0.000000,7920.203579
2735.341928,3370.820191,-74.020594,9178.553681
2735.342257,2681.334243,-222.061783,8882.471304
2735.342587,1532.190996,-592.164754,9326.594869
2735.342916,1915.238745,-1924.535449,9696.697840
2735.343245,2528.115143,-1554.432478,9400.615463
2735.343574,2451.505594,-666.185348,9474.636058
2735.343904,2528.115143,-1554.432478,9918.759623
2735.344233,2757.943793,-444.123565,9104.533087
2735.344562,4136.915689,666.185348,9548.656652
2735.344891,5056.230287,518.144159,7328.038826
