#time,accel_x,accel_y,accel_z
2537.250922,536.266849,-0.000000,9104.533087
2537.251251,-229.828649,-0.000000,9030.512492
2537.251580,229.828649,-296.082377,9030.512492
2537.251910,536.266849,-0.000000,8586.388927
2537.252239,153.219100,-0.000000,9104.533087
2537.252568,306.438199,-74.020594,8882.471304
2537.252897,229.828649,-296.082377,9178.553681
2537.253226,459.657299,-148.041188,9178.553681
2537.253556,536.266849,-222.061783,8956.491898
2537.253885,306.438199,-0.000000,8956.491898
2537.254214,306.438199,-0.000000,9178.553681
2537.254543,229.828649,-222.061783,8882.471304
2537.254872,229.828649,-74.020594,9104.533087
2537.255202,536.266849,-296.082377,9178.553681
2537.255531,459.657299,-296.082377,9104.533087
2537.255860,536.266849,-74.020594,9326.594869
2537.256189,536.266849,-518.144159,9474.636058
2537.256519,153.219100,-148.041188,9252.574275
2537.256848,306.438199,-0.000000,9252.574275
2537.257177,306.438199,-148.041188,9030.512492
2537.257506,536.266849,-444.123565,8808.450710
2537.257835,689.485948,-222.061783,9178.553681
2537.258165,229.828649,-296.082377,9178.553681
2537.258494,536.266849,-148.041188,9178.553681
2537.258823,383.047749,-222.061783,8956.491898
2537.259152,229.828649,-370.102971,9252.574275
2537.259482,76.609550,-0.000000,8882.471304
2537.259811,536.266849,-148.041188,8808.450710
2537.260140,76.609550,222.061783,9178.553681
2537.260469,536.266849,-74.020594,9326.594869
2537.260798,153.219100,-222.061783,8586.388927
2537.261128,306.438199,-0.000000,8882.471304
2537.261457,0.000000,-148.041188,8808.450710
2537.261786,229.828649,-0.000000,9030.512492
2537.262115,536.266849,-444.123565,8956.491898
2537.262445,536.266849,-370.102971,8882.471304
2537.262774,383.047749,-74.020594,9104.533087
2537.263103,383.047749,-0.000000,8956.491898
2537.263432,306.438199,-0.000000,9104.533087
2537.263761,229.828649,-0.000000,9104.533087
2537.264091,153.219100,-148.041188,8882.471304
2537.264420,842.705048,-74.020594,9400.615463
2537.264749,306.438199,-370.102971,9030.512492
2537.265078,459.657299,-370.102971,9252.574275
2537.265408,153.219100,-74.020594,9252.574275
2537.265737,383.047749,-222.061783,9178.553681
2537.266066,306.438199,-148.041188,9030.512492
2537.266395,383.047749,-148.041188,9178.553681
2537.266724,536.266849,-370.102971,9104.533087
2537.267054,383.047749,-370.102971,9326.594869
2537.267383,919.314598,-296.082377,9178.553681
2537.267712,153.219100,-296.082377,9326.594869
2537.268041,306.438199,-444.123565,9030.512492
2537.268371,459.657299,-222.061783,9400.615463
2537.268700,306.438199,-222.061783,9252.574275
2537.269029,459.657299,-518.144159,9030.512492
2537.269358,689.485948,-296.082377,9400.615463
2537.269687,536.266849,-74.020594,8956.491898
2537.270017,612.876398,-148.041188,9030.512492
2537.270346,612.876398,-0.000000,9178.553681
2537.270675,459.657299,-0.000000,9104.533087
2537.271004,459.657299,-0.000000,9030.512492
2537.271333,689.485948,-222.061783,9030.512492
2537.271663,536.266849,-222.061783,8956.491898
2537.271992,612.876398,-148.041188,9104.533087
2537.272321,153.219100,-296.082377,8734.430116
2537.272650,153.219100,-0.000000,9104.533087
2537.272980,306.438199,-222.061783,8956.491898
2537.273309,153.219100,-0.000000,8882.471304
2537.273638,383.047749,-296.082377,8956.491898
2537.273967,229.828649,-74.020594,8882.471304
2537.274296,383.047749,-148.041188,8956.491898
2537.274626,689.485948,-148.041188,8586.388927
2537.274955,919.314598,-222.061783,9252.574275
2537.275284,383.047749,-370.102971,8882.471304
2537.275613,306.438199,-148.041188,9252.574275
2537.275943,229.828649,-74.020594,8956.491898
2537.276272,229.828649,-74.020594,9252.574275
2537.276601,229.828649,-222.061783,9030.512492
2537.276930,536.266849,-666.185348,9104.533087
2537.277259,306.438199,-370.102971,9178.553681
2537.277589,766.095498,-148.041188,9104.533087
2537.277918,229.828649,-0.000000,9104.533087
2537.278247,153.219100,-222.061783,9474.636058
2537.278576,383.047749,-296.082377,9030.512492
2537.278906,383.047749,-296.082377,9400.615463
2537.279235,1302.362347,-1110.308913,10140.821405
2537.279564,1838.629195,-1110.308913,8882.471304
2537.279893,1838.629195,-518.144159,9696.697840
2537.280222,2221.676944,-370.102971,9326.594869
2537.280552,2451.505594,-0.000000,8956.491898
2537.280881,3140.991542,592.164754,9104.533087
2537.281210,4136.915689,-74.020594,8808.450710
2537.281539,3830.477490,-0.000000,8068.244768
2537.281869,3830.477490,296.082377,8956.491898
2537.282198,3217.601092,148.041188,8290.306550
2537.282527,2604.724693,-444.123565,9326.594869
2537.282856,2834.553343,-444.123565,9104.533087
2537.283185,1532.190996,-814.226536,9400.615463
2537.283515,1685.410096,-1332.370696,10140.821405
2537.283844,2145.067394,-1924.535449,9474.636058
2537.284173,2911.162892,-148.041188,9252.574275
2537.284502,2298.286494,-740.205942,9844.739029
2537.284831,3217.601092,-518.144159,8956.491898
2537.285161,3907.087040,592.164754,8882.471304
2537.285490,5515.887586,1184.329507,7476.080014
2537.285819,4979.620737,1332.370696,7624.121203
2537.286148,4903.011187,1258.350101,9030.512492
2537.286478,4979.620737,1110.308913,7624.121203
2537.286807,3677.258390,666.185348,8734.430116
2537.287136,3600.648841,-0.000000,8956.491898
2537.287465,2374.896044,-148.041188,8290.306550
2537.287794,1838.629195,-518.144159,9844.739029
2537.288124,842.705048,-1110.308913,9696.697840
2537.288453,1608.800546,-888.247130,9696.697840
2537.288782,689.485948,-1776.494261,9696.697840
2537.289111,2068.457845,-814.226536,9622.677246
2537.289441,1302.362347,-518.144159,10066.800811
2537.289770,3447.429741,740.205942,8660.409521
2537.290099,3447.429741,-0.000000,8808.450710
2537.290428,4366.744339,1480.411884,9252.574275
2537.290757,4596.572988,518.144159,7994.224174
2537.291087,4596.572988,1258.350101,8290.306550
2537.291416,4826.401637,296.082377,9400.615463
2537.291745,3677.258390,-74.020594,8586.388927
2537.292074,2834.553343,-666.185348,9252.574275
2537.292404,2451.505594,-1554.432478,9770.718434
2537.292733,2451.505594,-1332.370696,10436.903782
2537.293062,1302.362347,-1998.556043,9918.759623
2537.293391,2681.334243,-1628.453072,10658.965565
2537.293720,2757.943793,-1332.370696,9400.615463
2537.294050,3447.429741,148.041188,9474.636058
2537.294379,3830.477490,888.247130,8142.265362
2537.294708,4673.182538,1776.494261,8586.388927
2537.295037,4673.182538,2516.700203,7624.121203
2537.295367,4903.011187,2590.720797,7254.018232
2537.295696,3983.696590,2590.720797,7550.100608
2537.296025,3753.867940,1702.473667,8068.244768
2537.296354,3294.210641,740.205942,7994.224174
2537.296683,2374.896044,-888.247130,9030.512492
2537.297013,2374.896044,-1850.514855,9844.739029
2537.297342,1149.143247,-3108.864956,10288.862594
2537.297671,1455.581446,-3108.864956,11251.130318
2537.298000,2145.067394,-2812.782580,11029.068536
2537.298330,3140.991542,-1924.535449,10732.986159
2537.298659,4290.134789,-592.164754,9696.697840
2537.298988,5669.106685,962.267725,9326.594869
2537.299317,6358.592633,2146.597232,8438.347739
2537.299646,5898.935335,2812.782580,7624.121203
2537.299976,5515.887586,3108.864956,7994.224174
2537.300305,4749.792088,4367.215058,6365.771101
2537.300634,4443.353888,2664.741391,7105.977043
2537.300963,2681.334243,666.185348,7698.141797
2537.301292,995.924147,-1480.411884,9844.739029
2537.301622,-766.095498,-3701.029710,10658.965565
2537.301951,-1532.190996,-3923.091493,12065.356855
2537.302280,-1149.143247,-5773.606348,10881.027347
2537.302609,-2068.457845,-1924.535449,10362.883188
2537.302939,-995.924147,-1258.350101,10881.027347
2537.303268,-766.095498,222.061783,9400.615463
2537.303597,842.705048,1406.391290,9844.739029
2537.303926,1915.238745,1406.391290,9548.656652
2537.304255,3677.258390,1480.411884,9400.615463
2537.304585,3830.477490,1702.473667,7105.977043
2537.304914,4903.011187,1480.411884,6291.750507
2537.305243,4366.744339,1702.473667,6365.771101
2537.305572,4519.963438,2072.576638,6661.853478
2537.305902,2834.553343,1184.329507,6957.935855
2537.306231,1072.533697,370.102971,7476.080014
2537.306560,-383.047749,-1776.494261,9178.553681
2537.306889,-1455.581446,-2886.803174,9918.759623
2537.307218,-2757.943793,-3849.070898,9252.574275
2537.307548,-2298.286494,-3997.112087,10732.986159
2537.307877,-2374.896044,-3478.967927,10362.883188
2537.308206,-2298.286494,-2146.597232,11177.109724
2537.308535,-2068.457845,-1406.391290,11251.130318
2537.308865,-1302.362347,-74.020594,10140.821405
2537.309194,0.000000,444.123565,9474.636058
2537.309523,153.219100,1924.535449,8512.368333
2537.309852,76.609550,1628.453072,9696.697840
2537.310181,1455.581446,148.041188,9474.636058
2537.310511,4213.525239,296.082377,8882.471304
2537.310840,5822.325785,148.041188,6143.709319
2537.311169,5745.716235,592.164754,5551.544565
2537.311498,5362.668486,1110.308913,5773.606348
2537.311828,5975.544884,1406.391290,7402.059420
2537.312157,4673.182538,1850.514855,7105.977043
2537.312486,2451.505594,1184.329507,7772.162391
2537.312815,229.828649,-1110.308913,9474.636058
2537.313144,-2221.676944,-1406.391290,10510.924376
